BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
Loungefly LLC;CA;4/26/2019;Electronic;Business;4,562;oag.ca.gov;#https://oag.ca.gov/system/files/Sample%20California%20Consumer%20Notice_0.pdf#
Citrix Systems, Inc - current and former employees;FL;4/29/2019;Electronic;Business;15,820;oag.ca.gov;#https://oag.ca.gov/system/files/CX1%20US%20LTR%20%28no%20MA%20or%20CT%29_0.pdf#
Independent Insurance Agent & Brokers of America (IIABA);VA;4/30/2019;Electronic;Business;Unknown;www.independentagent.com;#https://www.independentagent.com/legal-advocacy/pages/notice-of-data-breach.aspx#
Gardner Family Health Network;CA;3/28/2019;Paper Data;Medical/Healthcare;5,064;secureservercdn.net;#https://secureservercdn.net/166.62.108.43/nns.01b.myftpupload.com/wp-content/uploads/2019/04/English.pdf#
Raffle Brothers dba Arby's;ME;4/21/2019;Electronic;Business;11,578;www.maine.gov;#https://www.maine.gov/ag/consumer/identity_theft/index.shtml#
Lauderdale County - employees;MS;4/25/2019;Electronic;Government/Military;Unknown;www.meridianstar.com;#https://www.meridianstar.com/news/local_news/lauderdale-county-employees-sensitive-information-exposed/article_
Tower Imaging, LLC;FL;4/16/2019;Electronic;Medical/Healthcare;810;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Mid-Cities Home Medical Delivery Service, LLC;TX;4/12/2019;Paper Data;Medical/Healthcare;4,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Docker Hub;CA;4/26/2019;Electronic;Business;Unknown;success.docker.com;#https://success.docker.com/article/docker-hub-user-notification#
University of Alaska (reported on 4/26/2019);AK;4/26/2019;Electronic;Education;7,445;www.alaska.edu;#https://www.alaska.edu/news/it/dataincident.php#
ABM Industries Incorporated (reported on 4/26/2019);NY;4/26/2019;Electronic;Business;Unknown;www.abm.com;#https://www.abm.com/wp-content/themes/abm/assets/files/notice_of_data_privacy_incident.pdf#
Inmediata Health Group;NC;4/24/2019;Electronic;Medical/Healthcare;1,565,338;portal.inmediata.com;#https://portal.inmediata.com/patients-of-data-security-incident/#
Invenshure LLC;MN;4/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Inveshure-Template-C1.pdf#
Imbio LLC;MN;4/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Imbio-Template-C1.pdf#
iCracked;CA;4/15/2019;Electronic;Business;Unknown;www.zdnet.com;#https://www.zdnet.com/article/a-hacker-has-dumped-nearly-one-billion-user-records-over-the-past-two-months/#
Moda Operandi;NY;4/15/2019;Electronic;Business;Unknown;www.zdnet.com;#https://www.zdnet.com/article/a-hacker-has-dumped-nearly-one-billion-user-records-over-the-past-two-months/#
Evite;CA;4/15/2019;Electronic;Business;Unknown;www.zdnet.com;#https://www.zdnet.com/article/a-hacker-has-dumped-nearly-one-billion-user-records-over-the-past-two-months/#
Wanelo;CA;4/15/2019;Electronic;Business;Unknown;www.zdnet.com;#https://www.zdnet.com/article/a-hacker-has-dumped-nearly-one-billion-user-records-over-the-past-two-months/#
Seattle University (reported on 4/23/2019);WA;4/23/2019;Electronic;Education;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/23/seattle-university-notice-of-data-breach-to-consumers/#
National Seating & Mobility (reported on 4/15/2019);TN;4/15/2019;Electronic;Medical/Healthcare;3,800;www.nsm-seating.com;#https://www.nsm-seating.com/wp-content/uploads/2019/04/NSM-Substitute-Notice.pdf#
Village Hat Shop;CA;4/18/2019;Electronic;Business;300;marylandattorneygeneral.gov;#http://www.marylandattorneygeneral.gov/ID%20Theft%20Breach%20Notices/2019/itu-311752.pdf#
Delta Dental of Illinois (reported on 4/16/2019);IL;4/16/2019;Electronic;Medical/Healthcare;5,092;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-DDIL-Individual-Member-Notice-Letter-1-Yr-Protection-FINAL.pdf#
RunSignUp Inc.;NJ;4/18/2019;Electronic;Business;222;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-RunSignup-Notice-of-Data-Event-MT.pdf#
L&M Fleet Supply;MN;4/23/2019;Electronic;Business;4,952;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-L-M-Supply-MT-AG-Notice-with-enclosure-8052073x7AB84.pdf#
Doctors Management Service Inc.;MA;4/22/2019;Electronic;Medical/Healthcare;206,695;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/24/doctors-management-service-inc-sbn-to-consumers/#
Maine Maritime Academy;ME;4/24/2019;Electronic;Education;696;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/24/maine-maritime-academy-sbn-to-consumers/#
Flywheel Exchange LLC;MN;4/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Flywheel-Template-C1.pdf#
Gaming Arts LLC;NV;4/12/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Gaming-Arts-Notice-of-Data-Event-MT.pdf#
Color Street;NY;4/16/2019;Paper Data;Business;389;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-CS-Breach-Notification-DRAFT.pdf#
Steps to Recovery;PA;4/19/2019;Electronic;Medical/Healthcare;145,000;rainbowtabl.es;#https://rainbowtabl.es/2019/04/19/steps-to-recovery-recovery-addiction-treatment-center-leak/#
Jobscience Inc. (TalentPath product);CA;4/3/2019;Electronic;Business;1,750,000;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/05/jobscience-inc-notice-of-data-breach-to-consumers/#
UCLA Health (vendor Eurofins VRL Inc.);CA;4/5/2019;Electronic;Medical/Healthcare;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-UCLA-Eurofin-Adults-Template.pdf#
Martinsburg VA Medical Center WV 4/11/2019 Paper Data Medical/Healthcare 4,882;VA;4/11/2019;Paper Data;Medical/Healthcare;4,882;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Ronald Snyder M.D. (ActivYouth Orthopaedics);NJ;4/18/2019;Electronic;Medical/Healthcare;24,176;www.activyouthortho.com;#https://docs.wixstatic.com/ugd/f33a81_58584e5ba28e44cd937ac351a9312b7e.pdf#
Center for Sight & Hearing;IL;4/18/2019;Electronic;Medical/Healthcare;5,319;www.cshni.org;#https://www.cshni.org/email-incident/#
Oregon Institute of Technology;OR;4/18/2019;Electronic;Education;770;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-4.pdf#
Alana Healthcare / DME Tennessee;TN;4/12/2019;Electronic;Medical/Healthcare;2,691;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/12/alana-healthcare-notice-of-data-breach-to-consumers/#
Jocor Enterprises LLC dba Volcano eCigs;HI;4/16/2019;Electronic;Business;1,998;ago.vermont.gov;#https://ago.vermont.gov/wp-content/uploads/2019/04/2019-04-16-Jacor-Enterprises-LLC-dba-Volcano-eCigs-Notice-of-
Cincinnatus Savings and Loan;OH;4/16/2019;Electronic;Banking/Credit/Financial;1,861;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/16/cincinnatus-savings-and-loan-notice-of-data-breach-to-consumers/#
Harbor;OH;4/12/2019;Electronic;Medical/Healthcare;2,290;www.harbor.org;#http://www.harbor.org/images/pdfs/harbor%20website%20notice%204.12.19.pdf#
Mountain Valley Regional Rehabilitation Hospital (Ernest Health);AZ;4/18/2019;Electronic;Medical/Healthcare;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/18/mountain-valley-regional-rehab-hospital-sbn-to-consumers/#
Shubert Organization Inc.;NY;4/11/2019;Electronic;Business;2,358;ago.vermont.gov;#https://ago.vermont.gov/wp-content/uploads/2019/04/2019-04-11-The-Shubert-Organization-SBN-to-Consumers.pdf#
Archbright (reported on 4/5/2019);WA;4/5/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Archbright-Consumer-Notification-Letter.pdf#
H&R Block (reported on 4/8/2019);MO;4/8/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT-AG.pdf#
American Juice Co. LLC;TX;4/8/2019;Electronic;Business;4,843;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-America-Juice-Sample-Consumer-Notification-Letter.pdf#
Dr. T.Y. Steven Ip M.D.;CA;4/18/2019;Electronic;Medical/Healthcare;6,326;oag.ca.gov;#https://oag.ca.gov/system/files/Dr%20Ip%20Ad%20SSN%201%20Year%20r4fin_0.pdf#
Gary W. Peer M.D.;CA;4/18/2019;Electronic;Medical/Healthcare;3,400;oag.ca.gov;#https://oag.ca.gov/system/files/GWP%20GEN%20LTR_0.PDF#
International Agri-Center;CA;4/19/2019;Electronic;Business;Unknown;oag.ca.gov;#https://oag.ca.gov/system/files/4_19_2019_FINAL_Notice_of_Data_Breach__International_Agri-Center__0.pdf#
Minnesota Eye Consultants;MN;4/16/2019;Paper Data;Medical/Healthcare;4,556;www.mneye.com;#https://www.mneye.com/news/recent-hipaa-breach-at-minnesota-eye-consultants/#
Partners for Quality Inc.;PA;4/19/2019;Electronic;Business;3,673;www.pfq.org;#https://www.pfq.org/news/notice-security-incident-0#
Riverplace Counseling Center;MN;4/11/2019;Electronic;Medical/Healthcare;11,639;www.riverplacecenter.com;#http://www.riverplacecenter.com/riverplace-counseling-center-notifies-individuals-of-possible-data-security-incident/#
Northern Light Acadia Hospital;ME;4/18/2019;Electronic;Medical/Healthcare;300;nothernlighthealth.org;#https://northernlighthealth.org/Locations/Acadia-Hospital/News-Events/News/2019/Notice-of-Data-Privacy-Incident#
United Way of the Big Bend;FL;4/19/2019;Electronic;Business;64;www.wtxl.com;#https://www.wtxl.com/news/local-news/united-way-of-the-big-bend-investigates-possible-data-security-breach#
Bodybuilding.com;ID;4/19/2019;Electronic;Business;3,193;www.bodybuilding.com;#https://www.bodybuilding.com/help?notifications&data-incident#
Metrocare Services (reported on 4/5/2019);TX;4/5/2019;Electronic;Medical/Healthcare;5,290;www.metrocareservices.org;#https://www.metrocareservices.org/community-notice#
Centrelake Medical Group, Inc.;CA;4/16/2019;Electronic;Medical/Healthcare;197,661;centrelakeimaging.com;#https://centrelakeimaging.com/wp-content/uploads/2019/04/Press-Release-4.16.19-1.pdf#
Wingate Wealth Advisors;MA;4/10/2019;Electronic;Banking/Credit/Financial;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/11/wingate-wealth-advisors-notice-of-data-breach-to-consumers/#
Canyon Bakehouse LLC;CO;4/8/2019;Electronic;Business;11,976;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers/#
Kenra Professional;CA;4/3/2019;Electronic;Business;969;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Kenra_AG-MT-Notice.pdf#
International Rehabilitation Sciences Inc. dba RS Medical;WA;4/14/2019;Electronic;Medical/Healthcare;1,911;www.databreaches.net;#https://www.databreaches.net/wa-rs-medical-notifies-patients-because-an-attacker-potentially-had-access-to-their-inf
Health Recovery Services Inc.;OH;4/5/2019;Electronic;Medical/Healthcare;20,485;www.hrs.org;#https://docs.wixstatic.com/ugd/1888a8_26b6edf126d44baeb08126034cd90aa7.pdf#
Hartford Financial Services Group Inc.;CT;4/12/2019;Electronic;Business;43,000;oag.ca.gov;#https://oag.ca.gov/system/files/Cal%20AG%20Notification%20Ltr%204.12.2019_0.pdf#
OB Pharmacy CA 4/3/2019 Electronic Medical/Healthcare 3,241;OB;4/3/2019;Electronic;Medical/Healthcare;3,241;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Regional Health Medical Clinic - Flormann Street;SD;4/1/2019;Paper Data;Medical/Healthcare;696;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
FBI National Academy Associates Inc. (FBINAA);VA;4/13/2019;Electronic;Business;23,000;www.databreaches.net;#https://www.databreaches.net/thousands-of-identities-personal-information-published-in-fbi-related-hack/#
Questcare Medical Services PLLC;TX;4/12/2019;Electronic;Medical/Healthcare;5,573;questcare.com;#https://questcare.com/data-incident-notice/#
Klaussner Furniture Industries Inc - Employee Benefits Plan;NC;4/5/2019;Electronic;Business;9,352;www.globalnewswire.com;#https://www.globenewswire.com/news-release/2019/04/05/1797766/0/en/Klaussner-Furniture-Informs-Certain-Employe
FirstLease Inc;PA;2/15/2019;Electronic;Banking/Credit/Financial;564;www.doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/firstlease-20190219.pdf#
Aspire Financial Services LLC;FL;2/8/2019;Electronic;Banking/Credit/Financial;6,431;dojmt.gov;#https://dojmt.gov/wp-content/uploads/Aspire-Consumer-Breach-Notification.pdf#
Microsoft - email services;WA;4/12/2019;Electronic;Business;Unknown;techcrunch.com;#https://techcrunch.com/2019/04/13/microsoft-support-agent-email-hack/#
Colgate University (third-party service provider PrismRBS);NY;4/9/2019;Electronic;Education;621;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/09/colgate-university-redacted-notice-of-data-breach-to-consumers/#
University Hospitals Rainbow Babies & Children's Hospital;OH;4/8/2019;Electronic;Medical/Healthcare;838;www.hipaajournal.com;#https://www.hipaajournal.com/1600-ohio-patients-notified-of-impermissible-phi-disclosures/#
Providence Health Plan (RSC Insurance Brokerage);OR;3/19/2019;Electronic;Medical/Healthcare;651;healthplans.providence.org;#https://healthplans.providence.org/about-us/news-notices-announcements/member-notification/#
Mayo Clinic (reported on 3/22/2019);MN;3/22/2019;Electronic;Medical/Healthcare;1,902;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Georgia Tech (reported on 4/2/2019);GA;4/2/2019;Electronic;Education;1,265,000;breach.gatech.edu;#https://breach.gatech.edu/security-notification/communication#
Myriad Genetic Laboratories, Inc.;UT;4/1/2019;Electronic;Medical/Healthcare;1,719;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Auto Truck Kargo Equipment LLC;SC;4/2/2019;Electronic;Business;762;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/02/auto-truck-kargo-equipment-llc-notice-of-data-breach-to-consumers/#
City of Winter Park;FL;4/2/2019;Electronic;Government/Military;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/02/the-city-of-winter-park-florida-notice-of-data-breach-to-consumers/#
First Iowa Insurance Agency Inc;IA;1/23/2019;Electronic;Business;Unknown;www.iowaattorneygeneral.gov;#https://www.iowaattorneygeneral.gov/media/cms/12319_First_Iowa_Insurance_Agency_I_EE91FF14A980C.pdf#
Women's Health USA Inc.;CT;3/29/2019;Electronic;Business;17,531;www.whusa.com;#http://www.whusa.com/media/1147/whusa-website-notice-32919.pdf#
Rehabilitation Hospital of Northwest Ohio (Ernest Health);OH;4/8/2019;Electronic;Medical/Healthcare;1,143;www.ernesthealth.com;#http://www.ernesthealth.com/wp-content/uploads/2019/04/NoticeToOurPatients.pdf#
Weslaco Regional Rehabilitation Hospital (Ernest Health);TX;4/8/2019;Electronic;Medical/Healthcare;1,434;www.ernesthealth.com;#http://www.ernesthealth.com/wp-content/uploads/2019/04/NoticeToOurPatients.pdf#
Palmetto Health;SC;3/29/2019;Electronic;Medical/Healthcare;23,811;www.palmettohealth.org;#https://www.palmettohealth.org/patients-guests/data-security-incident#
Minnesota Department of Human Services (reported on 4/9/2019);MN;4/9/2019;Electronic;Government/Military;10,263;mn.gov;#https://mn.gov/dhs/assets/2019-04-09-sample-notification-letter-clients_tcm1053-379202.pdf#
Key West Hotels LLC;FL;4/2/2019;Electronic;Business;18,000;oag.ca.gov;#https://oag.ca.gov/system/files/WEBSITE%20NOTIFICATION%20%28J2477810x7AD79%29_0.pdf#
Urban One Inc.;MD;4/5/2019;Electronic;Business;18,012;oag.ca.gov;#https://oag.ca.gov/system/files/USA01-%2312602455-v1-AG_CA_Notice_-_Urban_One_0.pdf#
AeroGrow International Inc. (reported on 4/4/2019);CO;4/4/2019;Electronic;Business;27,488;oag.ca.gov;#https://oag.ca.gov/system/files/Cali%20Indiv%20Notification%20042019_0.pdf#
Baystate Health (reported on 4/5/2019);MA;4/5/2019;Electronic;Medical/Healthcare;11,658;www.baystatehealth.org;#https://www.baystatehealth.org/phishing#
US Army VA 3/7/2019 Electronic Government/Military Unknown;US;3/7/2019;Electronic;Government/Military;Unknown;www.washingtonpost.com;#https://www.washingtonpost.com/national-security/2019/03/06/hundreds-immigrant-recruits-risk-death-sentence-after-
Hamilton College;NY;3/8/2019;Electronic;Education;Unknown;www.hamilton.edu;#https://www.hamilton.edu/news/story/unauthorized-access-admission-database#
Spectrum Health Lakeland (subcontractor Wolverine Solutions Group);MI;3/14/2019;Electronic;Medical/Healthcare;Unknown;www.lakelandhealth.org;#https://www.lakelandhealth.org/how-we-compare/data-security#
Professional Tax & Accounting;AL;3/18/2019;Paper Data;Business;Unknown;whnt.com;#https://whnt.com/2019/03/18/boxes-of-documents-including-possible-personal-tax-information-showed-up-at-a-marsh
North Ottawa Community Health System (subcontractor Wolverine Solutions Group);MI;3/6/2019;Electronic;Medical/Healthcare;15,000;www.noch.org;#http://www.noch.org/uploadedFiles/Library_Assets/WSG%20NOTICE%20OF%20BREACH.pdf#
St. Louis Community College (reported on 3/25/2019);MO;3/25/2019;Electronic;Education;4,000;www.ksdk.com;#https://www.ksdk.com/article/news/local/stlccs-data-breach-has-students-concerned/63-e6904f06-47b2-4bb4-ade7-8fa
Kanopy Inc.;CA;3/24/2019;Electronic;Business;Unknown;www.databreaches.net;#https://www.databreaches.net/kanopy-privacy-breach-reveals-which-movies-members-have-been-streaming/#
McLaren Health Care (subcontractor Wolverine Solutions Group);MI;2/27/2019;Electronic;Medical/Healthcare;Unknown;www.mclaren.org;#https://www.mclaren.org/Uploads/Public/Documents/Corporate/wolverine-solutions-group-security-statement.pdf#
Health Alliance Plan (subcontractor Wolverine Solutions Group);MI;3/7/2019;Electronic;Medical/Healthcare;120,344;www.freep.com;#https://www.freep.com/story/news/local/michigan/2019/03/07/wolverine-solutions-group-malware-attack-security-data-
GameSalad;TX;3/17/2019;Electronic;Business;Unknown;www.zdnet.com;#https://www.zdnet.com/article/round-4-hacker-returns-and-puts-26mil-user-records-for-sale-on-the-dark-web/#
Verity Medical Foundation (reported on 2/26/2019 and 3/11/2019);CA;2/26/2019;Electronic;Medical/Healthcare;14,894;www.databreaches.net;#https://www.databreaches.net/verity-medical-foundation-discloses-third-incident-involving-access-to-employees-emai
DePaul;NY;3/30/2019;Electronic;Business;902;www.depaul.org;#https://www.depaul.org/important-information-on-data-incident/#
Pie Five Pizza;TX;4/5/2019;Electronic;Business;Unknown;www.piefivepizza.com;#https://www.piefivepizza.com/paymentcardsecurity/notice/#
Home Health Radiology Services;NJ;3/19/2019;Electronic;Medical/Healthcare;37,000;www.hipaajournal.com;#https://www.hipaajournal.com/database-of-new-jersey-healthcare-provider-found-to-be-leaking-ephi/#
Gulfport Anesthesia Services, PA MS 3/26/2019 Paper Data Medical/Healthcare 14,000;PA;3/26/2019;Paper Data;Medical/Healthcare;14,000;-;#https://www.wmcactionnews5.com/2019/05/02/files-containing-patient-information-go-missing-doctors-office-storage-f
Meditab Software Inc. and affiliate MedPharm Services;CA;3/18/2019;Electronic;Medical/Healthcare;Unknown;www.hipaajournal.com;#https://www.hipaajournal.com/potentially-massive-breach-of-protected-health-information-discovered/#
Frederick Memorial Hospital;MD;3/18/2019;Electronic;Medical/Healthcare;760;www.fmh.org;#https://www.fmh.org/documents/PDFs/FRHS-Substitute-Notice-Final-3-14-19.pdf#
LCP Transportation, Inc;IN;3/15/2019;Electronic;Business;54,528;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Duluth Human Development Center;MN;3/22/2019;Electronic;Medical/Healthcare;1,200;www.humandevelopmentcenter.org;#https://www.humandevelopmentcenter.org/wp-content/uploads/2019/03/Media-Notice-Data-Breach-03.2019.pdf#
Burrell Behavioral Health (reported on 3/29/2019);MO;3/29/2019;Electronic;Medical/Healthcare;67,493;www.burrellcenter.com;#https://www.burrellcenter.com/breach-notice/#
Harland Clarke Corp;TX;3/12/2019;Paper Data;Business;230;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/12/harland-clarke-corp-notice-of-data-breach-to-consumers/#
James Perse Enterprises;CA;3/13/2019;Electronic;Business;684;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/13/james-perse-enterprises-notice-of-data-breach-to-consumers/#
TriBike Transport LLC;NC;3/22/2019;Electronic;Business;2,495;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/22/tribike-transport-notice-of-data-breach-to-consumers/#
University of Vermont (reported on 3/28/2019);VT;3/28/2019;Electronic;Education;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/28/university-of-vermont-notice-of-data-breach-to-consumers/#
Columbia Forest Products - employees;NC;3/29/2019;Electronic;Business;2,391;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/29/columbia-forest-products-notice-of-data-breach-to-consumers/#
Earl Enterprises - Buca di Beppo, Earl of Sandwich, Planet Hollywood, Chicken Guy!, and Mixology and Tequila Taqueria;FL;3/29/2019;Electronic;Business;Unknown;www.earlenterprises.com;#https://www.earlenterprise.com/incident/#
CM Group Holdings dba Creative CA 4/1/2019 Electronic Business 1,251Memories;CM;4/1/2019;Electronic;Business;1,251;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/04/01/cm-group-holdings-creative-memories-notice-of-data-breach-to-consumers/#
Salem School District;OR;2/28/2019;Electronic;Education;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/salem-school-20190304.pdf#
Combe Incorporated;NY;2/28/2019;Electronic;Business;240;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/combe-20190301.pdf#
Grinnell College;IA;3/25/2019;Electronic;Education;3,261;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Grinnell-College-Notification-to-Montana-AG-with-enclosure-798564
Western Technical College;WI;3/21/2019;Electronic;Education;28,835;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-WesternTech_MT-AG-Notice_3.21.19.pdf#
Spectrum Business Resources LLC;IL;3/20/2019;Electronic;Banking/Credit/Financial;326;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Spectrum-Business-Resources-Notification-to-Montana-AG-with-en
Wenner Group LLC;CO;3/21/2019;Electronic;Business;3,062;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-notice-Wenner.pdf#
Cremation Society of Pennsylvania Inc.;PA;3/15/2019;Electronic;Business;24,168;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-CON-Montana-Consumer-Notice-3-15-19.pdf#
Navicent Health;GA;3/22/2019;Electronic;Medical/Healthcare;278,016;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Navicent-Health-Ad-SSN-r5prf-c-c-c-c-c.pdf#
Warn Industries Inc.;OR;3/22/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Warn-Notice-of-Data-Event-MT.pdf#
AG Source Inc. KS 3/22/2019 Electronic Business 233;AG;3/22/2019;Electronic;Business;233;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Copy-of-Data-Breach-Letter.pdf#
Little Rock Cancer Clinic, P.A.;AR;3/11/2019;Electronic;Medical/Healthcare;3,804;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Superior Dental Care;OH;3/25/2019;Electronic;Medical/Healthcare;38,260;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-SDC-Notice-of-Data-Event-MT.pdf#
Nasif Hicks Harris and Co LLP;CA;3/26/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-Letter.pdf#
American State Bank;IA;3/26/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Letter-1-SS-Debit-Card-DDA-01081897xB8DF0.pdf#
Life Equity LLC;OH;3/27/2019;Electronic;Business;361;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-3.27.19-Montana-Regulator-Notice.pdf#
OneMain Financial (reported on 3/21/2019);IN;3/21/2019;Electronic;Banking/Credit/Financial;465;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-doc-1.pdf#
Gifted Development Center;CO;3/29/2019;Electronic;Business;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-12584983-AG-MT-Notification-letter-Final-Gifted-Development-Cente
Brighton Collectibles LLC;CA;3/22/2019;Electronic;Business;4,550;oag.ca.gov;#https://oag.ca.gov/system/files/Brighton%20Adult%20CA%20Notice_0.pdf#
Oregon Department of Human Services (DHS);OR;3/21/2019;Electronic;Government/Military;645,000;www.databreaches.net;#https://www.databreaches.net/oregon-dhs-discloses-breach-potentially-affecting-350000-after-successful-phisher-gai
Mary Free Bed Rehabilitation Hospital (subcontractor Wolverine Solutions Group);MI;3/4/2019;Electronic;Medical/Healthcare;4,755;-;#https://www.maryfreebed.com/wolverine-solutions-group-information-breach/#
Papa Del's;IL;3/15/2019;Electronic;Business;Unknown;www.papadels.com;#https://www.papadels.com/images/data-security-notice.pdf#
Hartwig Moss Insurance Agency;LA;3/20/2019;Electronic;Business;1,100;www.hmia.com;#https://www.hmia.com/notice-of-data-security-incident#
ABM Industries Incorporated (reported on 3/12/2019);NY;3/12/2019;Electronic;Business;42,366;oag.ca.gov;#https://oag.ca.gov/system/files/ABM%20-%20Notice%20only%200_0.pdf#
Maffi Clinics;AZ;3/6/2019;Electronic;Medical/Healthcare;10,465;www.hipaajournal.com;#https://www.hipaajournal.com/three-healthcare-ransomware-attacks-reported-70000-individuals-affected/#
Arthritis & Rheumatism Associates, P.C.;MD;3/1/2019;Electronic;Medical/Healthcare;500;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Oklahoma Heart Hospital LLC;OK;3/6/2019;Electronic;Medical/Healthcare;1,221;www.databreaches.net;#https://www.databreaches.net/oklahoma-heart-hospital-notifies-patients-after-thieves-steal-computers-from-clinic/#
Stevens Powell & Company PA FL 3/8/2019 Electronic Business Unknown;PA;3/8/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/08/stevens-powell-company-p-a-notice-of-data-breach-to-consumers/#
Velan Studios;NY;3/8/2019;Paper Data;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/08/velan-studios-notice-of-data-breach-to-consumers/#
Polaris Real Estate Partners LP CA 3/5/2019 Electronic Business Unknown;LP;3/5/2019;Electronic;Business;Unknown;ago.vermont.gov;#https://ago.vermont.gov/blog/2019/03/11/polaris-real-estate-partners-notice-of-data-breach-to-consumers/#
Southern Hills Eye Care;IA;3/15/2019;Electronic;Medical/Healthcare;11,617;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-Southern-Hills-Eyecare-AG-Notification-letter-MT.pdf#
Cherrydale Fundraising;PA;3/14/2019;Electronic;Business;13,061;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-1.pdf#
